"","X","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"64",4,4,"LAT",1,1,225,3630,1,225,14,40,32.2666666666667,14,2.76638749273934,0.0953182568444389,0.00157958774926448,0.481190947795005,7,0.0122765330138969,0.576934663274869,0.0281836046566493,35.4816217507533,0.485680424345996,0.0345238095238095,5.74222222222222,4,2.87809523809524,693.561303213025,75,306.426666666667,102.148068298636,414,68946,0.523727633338009
"65",5,5,"LAT",1,1,225,5170,1,225,20,60,45.9555555555556,20,5.83331821899971,0.144542104860938,0.00188851701651986,0.45400504697163,6,0.00889901915529952,0.599961055714668,0.019746494512169,50.6418999779296,0.462376657630277,0.0626984126984127,4.70666666666667,3,2.40357142857143,733.60869723557,160,657.306666666667,236.833499379989,954,147894,0.470652744537145
"66",6,6,"LAT",1,1,225,6860,1,225,27,84,60.9777777777778,27,10.6722759930941,0.20385272934738,0.00217061446627002,0.402010429327916,5,0.00779971642969806,0.624179892491257,0.0149177961928363,67.0340301659442,0.439142232592932,0.102777777777778,3.99555555555556,3,2.08880952380952,767.092518687175,301,1216.90666666667,464.675611890396,1908,273804,0.397979695242243
"67",7,7,"LAT",1,1,225,8652,1,225,35,112,76.9066666666667,35,17.5628048290817,0.271475625841037,0.00243143852261431,0.339040400227078,4,0.00779504013035618,0.645763059531407,0.0118987737124497,84.0422739490959,0.418777840861568,0.156666666666667,3.49333333333333,2,1.86222222222222,788.500633330207,515,2014.82666666667,797.462488593843,3420,453336,0.307435347238642
"68",8,8,"LAT",1,1,225,10500,1,225,44,140,93.3333333333333,44,26.5861284526723,0.344662598697922,0.00266960123540914,0.260981873015873,4,0.00606139775439757,0.670378244975755,0.00988948589958396,101.117490853804,0.394753814437128,0.208333333333333,3.12,2,1.69444444444444,797.392698327593,826,3085.76,1237.95709999522,5544,694296,0.215160734525212
"69",9,9,"LAT",1,1,225,12360,1,225,54,164,109.866666666667,54,37.5976879701677,0.420145636267089,0.00288703208512766,0.22199165278956,4,0.00447408707090458,0.69656666932134,0.00848950520707504,117.792495040419,0.363097811547308,0.241666666666667,2.83555555555556,2,1.56634920634921,805.948968335336,1256,4431.52,1754.68216515536,8072,997092,0.136881492089618
"70",10,10,"LAT",1,1,225,14190,1,225,65,184,126.133333333333,65,50.3301175513043,0.495244050424149,0.00308982191482535,0.152295053390486,3,0.00337360350554635,0.726013679960585,0.00747948580500638,133.699030397337,0.327841499754968,0.258333333333333,2.62222222222222,2,1.46309523809524,812.522630575729,1835,6051.54666666667,2298.58611215678,10842,1361598,0.0760558669198772
"71",11,11,"LAT",1,1,225,15950,1,225,77,200,141.777777777778,77,64.4664042877362,0.56800081802052,0.00328104562313885,0.147568960603768,3,0.00256443674955388,0.757178670261108,0.00673117585906206,148.562453416474,0.290771295511688,0.259920634920635,2.37333333333333,2,1.37706349206349,806.713278681923,2590,7909.30666666667,2801.22884055246,13626,1779594,0.031378819844352
"72",12,12,"LAT",1,1,225,17602,1,225,90,212,156.462222222222,90,79.6926691394496,0.63674512795215,0.00346146880801465,0.111453256537083,3,0.00191914389089738,0.789945027401693,0.00616598276182586,162.180148506267,0.252715820424702,0.247936507936508,2.17777777777778,2,1.30428571428571,795.911885764535,3557,9959.22666666667,3196.79351169708,16230,2240826,0.00124549004181408
"73",13,13,"LAT",1,1,225,19110,1,225,104,220,169.866666666667,104,95.7217238500409,0.699564310675655,0.0036309076427631,0.0922713771738217,3,0.00137599741214923,0.822791241295209,0.00573404158767672,174.397060905373,0.213977083604593,0.223809523809524,2.05333333333333,2,1.24206349206349,774.153569300591,4768,12120.8266666667,3431.83699912619,18474,2727186,-0.0156788448927249
"74",14,14,"LAT",1,1,225,20440,1,225,119,224,181.688888888889,119,112.3103367522,0.754180729239533,0.00378778738820946,0.0717646177442642,2,0.000905010583136531,0.854828150572831,0.00540301528178833,185.081838167412,0.17452090507887,0.188888888888889,1.99555555555556,1,1.18888888888889,763.961462927823,6265,14299.4133333333,3482.37804791086,20216,3217368,-0.0217798978280266
"75",15,15,"LAT",1,1,225,21560,1,225,133,224,191.644444444444,133,127.660829493746,0.798741230545385,0.00392853459043972,0.0578675853036442,2,0.000488528408874723,0.884484010650601,0.00515190698700709,194.102883169661,0.134067788476855,0.144444444444444,1.97777777777778,1,1.14444444444444,729.074391878497,7945,16369.92,3373.44735354546,21336,3683232,-0.0236662552033303
"76",16,16,"LAT",1,1,225,22470,1,225,146,224,199.733333333333,146,141.434249724646,0.834657304976625,0.00405028870041654,0.0351460959962639,2,0.00026924531443021,0.910665680657229,0.00496318888834012,201.483365331767,0.100971455911357,0.108333333333333,1.94222222222222,1,1.10833333333333,692.367277119797,9760,18236.4,3148.55178727345,22246,4103190,-0.0262864036507936
"77",17,17,"LAT",1,1,225,23198,1,225,158,224,206.204444444444,158,153.943821573235,0.864447587678456,0.00415293251387171,0.0277936889550391,2,0.000148576184144536,0.932856121513202,0.00482117610695095,207.418268450772,0.074357540579497,0.0794444444444444,1.88888888888889,1,1.07944444444444,655.676954074616,11654,19856.1866666667,2837.04937907075,22974,4467642,-0.0299003397842198
