"","X","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"53",53,"sbm",1,1,50,376,1,50,4,31,15.04,4,3.69137080204725,0.68089794953349,0.0121491457601312,0.0246081371661385,3,0.0576838797514174,0.464562717304092,0.0509232408422088,19.6373990237308,0.478965697932673,0.325714285714286,2.32,2,1.70530612244898,125.36697438811,5,69.48,62.8474797767239,198,3474,-0.429331582488426
"54",54,"sbm",1,1,50,452,1,50,11,26,18.08,11,9.65441991946767,0.664412758550174,0.0125440586193876,0.125301022006422,2,0.0166587268185561,0.390484407740663,0.0528854712748987,18.9087848872897,0.307618020950274,0.161632653061224,2,2,1.63102040816327,157.910058334744,23,63.36,27.6979038476023,120,3168,-0.0813588469277261
"55",55,"sbm",1,1,50,462,1,50,10,28,18.48,10,3.71367545484727,0.229701574839702,0.0123634411237067,0.328966848447368,3,0.0308623959045669,0.531275964391691,0.0502796444780082,19.8887643375718,0.417711778751554,0.194285714285714,2.58,2,1.65795918367347,146.100765982343,30,89.52,35.7738018382053,172,4476,0.33620101801271
"56",56,"sbm",1,1,50,139,0,42,0,14,5.56,0,-3.14530904552381e-15,-5.07308478257929e-16,-1,0.186791573935097,5,0.0868130928445871,0.261101243339254,0.110035679064778,9.08796136397997,0.611192108630197,0.172244897959184,3.02,0,2.29500580720093,79.0663268503293,0,5.88,6.45752211275615,24,294,-0.109016276920889
"57",57,"sbm",1,1,50,544,1,50,13,33,21.76,13,11.743150923301,0.730837226922479,0.0131686382045716,0.0651373945717993,3,0.0142677288804805,0.46258389261745,0.0436825331960038,22.8924452598249,0.345669087264967,0.229387755102041,2.04,2,1.55673469387755,161.783363188844,26,110.28,51.5633313785789,244,5514,-0.0423410317027309
"58",58,"sbm",1,1,50,509,1,50,10,32,20.36,10,9.64975084378261,0.771363051018586,0.0129248445058104,0,3,0.0207067679431491,0.273615635179153,0.0471135284097769,21.2253260104476,0.324892298142886,0.237551020408163,2.04,2,1.58530612244898,143.668884798944,8,57.12,26.9054580609472,134,2856,-0.464111878926769
"59",59,"sbm",1,1,50,732,1,50,21,37,29.28,21,19.8641614296327,0.797568599798609,0.0146211190854794,0,2,0.00722689258392617,0.582106401994449,0.0334188233169098,29.9232558404893,0.186184222053664,0.157551020408163,2,2,1.40244897959184,162.026199009331,126,247.5,76.0709255516568,382,12375,-0.227760681101527
"60",60,"sbm",1,1,50,328,1,50,4,28,13.12,4,3.26839627041488,0.637196871188196,0.0115966966574855,0.073203264425937,3,0.0786532005613148,0.472542606300568,0.0550310866946575,18.1715473937221,0.52120778358535,0.303673469387755,2.56,2,1.79020408163265,122.007884997367,2,54.9,56.7577199639856,169,2745,-0.209293183300076
"61",61,"sbm",1,1,50,426,0,49,0,29,17.04,0,8.67802521151632e-15,7.15058423833898e-17,-1,0.10834490511142,6,0.0997811255503388,0.873749264273102,0.0381436992634412,26.2166496514524,0.450590627700594,0.244081632653061,4.14,0,2.13180272108844,98.3758131890793,0,178.14,148.364830256846,341,8907,0.78259218452865
"62",62,"sbm",1,1,50,386,1,50,8,25,15.44,8,5.17209801692687,0.351604991899451,0.0120357708848787,0.302773228811512,3,0.0206079183947113,0.478760045924225,0.0565208068314985,17.6925995232381,0.503015559652711,0.195102040816327,2.46,2,1.70204081632653,139.691943077076,7,58.38,47.4917350489449,155,2919,0.298775331224356
"63",63,"sbm",1,1,50,130,1,50,1,11,5.2,1,0.725181566785545,0.299253434672246,0.00823607107205997,0.314822485207101,5,0.0909052756655318,0.139737991266376,0.157134432739969,6.36397753543191,0.578345823876189,0.118367346938776,4.08,3,2.52,93.1448165189112,0,1.92,2.14609279522445,9,96,-0.00545318458851612
"64",64,"sbm",1,1,50,450,1,50,11,23,18,11,1.3328611412999,0.0734800367715084,0.0114001871453928,0.449244444444445,3,0.0530556390261972,0.68001540238737,0.0534523294407994,18.7082585635026,0.469564794311413,0.102040816326531,2.8,2,1.80326530612245,129.173917040819,37,105.96,42.8299723396157,173,5298,0.0766787054866953
"65",65,"sbm",1,1,50,518,1,50,16,30,20.72,16,6.79071580223404,0.347545686726225,0.0129602116789099,0.287614972943158,3,0.0163837351265082,0.526591190181714,0.046517507516581,21.4972824939847,0.375617554159162,0.189387755102041,2.04,2,1.57795918367347,151.288473837771,58,110.7,38.5540966350781,234,5535,0.0937854931758049
"66",66,"sbm",1,1,50,401,0,43,0,30,16.04,0,-1.23882367992906e-14,-5.74874721952219e-16,-1,0.0293996927879802,7,0.195728664559005,0.863529651934266,0.0387527260411516,25.804636270958,0.477334912844709,0.284897959183673,4.62,0,2.18493909191584,88.4097399844662,0,169.2,142.682893730346,356,8460,0.421072610098975
"67",67,"sbm",1,1,50,353,1,50,8,22,14.12,8,6.80937439061095,0.600806514642706,0.0118758081431661,0.148127342326798,3,0.0230485758796953,0.293344289235826,0.0673701078496046,14.8433783456659,0.365034072655905,0.160816326530612,2.32,2,1.72163265306122,145.332617988473,4,28.56,13.0198592424756,63,1428,0.0311194252988115
"68",68,"sbm",1,1,50,360,1,50,7,23,14.4,7,6.27693990812252,0.629915450723215,0.0119324861038369,0.0195833333333333,3,0.0283233016759022,0.266981689308919,0.0664398245381703,15.05121374042,0.357424823263108,0.175510204081633,2.24,2,1.7134693877551,144.622467599458,6,27.12,13.0878351369288,66,1356,-0.160546716979127
